fname fwhm fwhm_std img_mean img_std
Vv0001.fit 8.242947578430176 0.8818293213844299 149.51683044433594 9.786988258361816
Vv0002.fit 9.319416999816895 1.8423517942428589 163.13035583496094 10.17916488647461
Vv0003.fit 9.275304794311523 1.5666587352752686 163.44015502929688 10.180580139160156
Vv0004.fit 9.693153381347656 0.5387027263641357 163.78746032714844 10.207042694091797
Vv0005.fit 8.568368911743164 1.4938238859176636 162.82373046875 10.160481452941895
Vv0006.fit 9.00232982635498 2.0317108631134033 164.07005310058594 10.160228729248047
Vv0007.fit 8.957780838012695 1.1751885414123535 162.55149841308594 10.192474365234375
Vv0008.fit 9.1056547164917 1.5495067834854126 163.3671112060547 10.152840614318848
Vv0009.fit 8.84572982788086 0.7424851059913635 162.35354614257812 10.156761169433594
Vv0010.fit 8.74222183227539 1.6115351915359497 162.43617248535156 10.147991180419922
Vv0011.fit 8.918557167053223 1.1974676847457886 163.24928283691406 10.15470027923584
Vv0012.fit 8.592348098754883 1.0795632600784302 162.5902862548828 10.145353317260742
Vv0013.fit 8.87781047821045 1.1827183961868286 162.59295654296875 10.140965461730957
Vv0014.fit 8.939638137817383 0.6685542464256287 161.82240295410156 10.173458099365234
Vv0015.fit 8.260101318359375 0.9415884613990784 163.4849090576172 10.127253532409668
Vv0016.fit 8.32414436340332 1.2716286182403564 161.40936279296875 10.12995719909668
Vv0017.fit 7.559455871582031 1.5005825757980347 161.32846069335938 10.127066612243652
Vv0018.fit 7.89193058013916 1.428562045097351 160.5662078857422 10.117693901062012
Vv0019.fit 7.514321327209473 1.1298884153366089 162.25958251953125 10.122401237487793
Vv0020.fit 7.853518486022949 1.3756284713745117 162.97171020507812 10.153589248657227
Vv0021.fit 9.82399845123291 0.8417273759841919 162.34226989746094 10.156879425048828
Vv0022.fit 7.9561767578125 0.8550698757171631 161.5078125 10.145288467407227
Vv0023.fit 8.400473594665527 1.3980401754379272 161.02670288085938 10.145123481750488
Vv0024.fit 9.082972526550293 1.591342568397522 161.22735595703125 10.136178970336914
Vv0025.fit 8.700018882751465 0.9007220268249512 159.75205993652344 10.104040145874023
Vv0026.fit 8.75549030303955 1.072519063949585 159.7658233642578 10.111930847167969
Vv0027.fit 8.431772232055664 0.7030418515205383 160.33050537109375 10.105979919433594
Vv0028.fit 8.481245040893555 1.1664634943008423 158.0601348876953 10.08227825164795
Vv0029.fit 8.331710815429688 1.359122395515442 159.8993682861328 10.103034019470215
Vv0030.fit 9.249852180480957 0.9557964205741882 160.7001495361328 10.099112510681152
Vv0031.fit 8.861660957336426 1.2250770330429077 158.94483947753906 10.081870079040527
Vv0032.fit 8.269027709960938 1.2543115615844727 159.78346252441406 10.089068412780762
Vv0033.fit 7.946671485900879 1.6572779417037964 161.05340576171875 10.104971885681152
Vv0034.fit 7.997931003570557 1.0623576641082764 161.1709747314453 10.121275901794434
Vv0035.fit 7.7884626388549805 1.3064181804656982 159.67344665527344 10.107022285461426
Vv0036.fit 8.063913345336914 1.1039384603500366 159.9670867919922 10.124893188476562
Vv0037.fit 7.936736106872559 0.919902503490448 158.60821533203125 10.06032943725586
Vv0038.fit 7.6951584815979 0.7929635643959045 159.1969757080078 10.08723258972168
Vv0039.fit 8.180074691772461 0.9463915228843689 159.77699279785156 10.10952091217041
Vv0040.fit 9.179544448852539 0.9882614016532898 160.8070068359375 10.136985778808594
Vv0041.fit 7.662947177886963 1.331957221031189 160.0826873779297 10.117521286010742
Vv0042.fit 8.265271186828613 0.8026632070541382 159.57020568847656 10.088035583496094
Vv0043.fit 9.059999465942383 1.1539661884307861 160.50584411621094 10.09721565246582
Vv0044.fit 8.258305549621582 0.7554520964622498 159.31675720214844 10.096455574035645
Vv0045.fit 8.130494117736816 1.4331225156784058 161.1730194091797 10.099932670593262
Vv0046.fit 8.292313575744629 0.8802654147148132 160.32264709472656 10.104671478271484
Vv0047.fit 8.370763778686523 2.235943078994751 160.38282775878906 10.124593734741211
Vv0048.fit 7.632896423339844 1.4563679695129395 161.52359008789062 10.121997833251953
Vv0049.fit 7.785223960876465 0.8243306279182434 160.8402099609375 10.117828369140625
Vv0050.fit 7.4940385818481445 1.2208956480026245 159.22377014160156 10.10958194732666
