FNAME,MJD,DATE,s1,merr1,s2,merr2,s3,merr3,s4,merr4,s5,merr5,s6,merr6,s7,merr7,s8,merr8,s9,merr9,s10,merr10,s11,merr11,s12,merr12,s13,merr13,s14,merr14,s15,merr15,s16,merr16,s17,merr17,s18,merr18,s19,merr19,s20,merr20,s21,merr21,s22,merr22,s23,merr23,s24,merr24,s25,merr25,s26,merr26,s27,merr27,s28,merr28,s29,merr29,s30,merr30,s31,merr31,s32,merr32,s33,merr33,s34,merr34,s35,merr35,s36,merr36,s37,merr37,s38,merr38,s39,merr39
Vv0011w.fits,58756.045289,2019-09-30T01:05:12.970,15.663433,0.0032969262,17.573721,0.0033545875,14.504021,0.0031512738,15.820586,0.0034390964,11.6076,0.0014473926,16.960275,0.0034069839,16.771111,0.0033351088,12.938266,0.0022768176,16.749101,0.0034832791,16.175467,0.0033770814,14.544886,0.0031388278,17.048464,0.0034537905,14.507141,0.0030441671,16.472736,0.0033439379,17.355936,0.0034859328,14.13118,0.0029436454,15.811758,0.0033271055,16.846965,0.0033471216,13.69485,0.0027504655,14.482525,0.0030148635,11.554045,0.0014276554,16.225371,0.0034104872,16.529547,0.00334516,15.85792,0.0033818518,15.069739,0.0032512016,14.719237,0.0030713412,16.35736,0.0034520275,16.148837,0.0033982197,16.641213,0.0033718807,16.207971,0.0033788639,16.209831,0.003300857,15.909414,0.0034062829,16.505505,0.0034337478,16.387775,0.0034590499,16.215346,0.0034433787,16.8456,0.0034145894,16.005596,0.0033391062,16.289881,0.0034365894,15.856362,0.0033196021
Vv0012w.fits,58756.046412,2019-09-30T01:06:49.997,15.63537,0.0033034969,17.502682,0.0034603771,14.531549,0.0031731319,15.729929,0.0034447748,11.608328,0.0014641631,17.217612,0.0035130653,16.826593,0.0033686313,12.936063,0.0022670745,16.842615,0.0035004678,16.378602,0.0034757996,14.557792,0.0031562241,17.132242,0.0033856497,14.492438,0.0030498809,16.614258,0.0034497577,17.299518,0.0034876741,14.120278,0.0028737243,15.791728,0.0033598271,16.606124,0.0033526864,13.713844,0.0027034742,14.510932,0.0031064625,11.572351,0.0014377569,16.008194,0.003321247,16.627871,0.0034338587,15.892464,0.0034008415,15.095326,0.0032853313,14.724957,0.0031562601,16.1493,0.003442189,16.068052,0.0034011505,16.775854,0.0033908717,16.24013,0.0033827233,16.244842,0.0034081581,16.061493,0.0034584469,16.38955,0.0034382525,16.377132,0.0034512971,16.343792,0.0034559854,16.824701,0.0034254924,16.102216,0.0032647485,16.451852,0.0034681002,15.956568,0.0033968339
Vv0013w.fits,58756.047535,2019-09-30T01:08:27.024,15.638471,0.0033041555,17.194754,0.003362078,14.512995,0.0031468527,15.797081,0.003430571,11.614531,0.0014527977,17.172815,0.0034236578,16.999435,0.0033696811,12.933616,0.0023236685,16.664073,0.0034991677,16.144954,0.0033480616,14.500399,0.0031378826,16.833878,0.0034554755,14.496165,0.0030433176,16.679866,0.0033452081,17.335015,0.0034868127,14.145538,0.0029502395,15.750365,0.003329909,16.63806,0.0034087817,13.690036,0.0027602104,14.539016,0.0031270775,11.598119,0.0014566831,16.107893,0.0033133629,16.572158,0.0034355483,15.836961,0.0033835453,15.131418,0.0032474727,14.68594,0.0031505907,16.231787,0.003456398,16.205468,0.0035095394,16.914796,0.0034976649,16.158391,0.0033760986,16.114213,0.0033978339,19.280711,0.0035439898,16.390853,0.0034676255,16.159059,0.0034248525,16.1565,0.0034597926,17.116637,0.0034220667,16.028397,0.0032684322,16.243441,0.0034576878,15.802633,0.0033261615
Vv0014w.fits,58756.048646,2019-09-30T01:10:03.014,15.658915,0.0033010538,17.343879,0.0034576071,14.53598,0.0031679057,15.753607,0.0034556505,11.608979,0.0014672585,17.412784,0.003530598,16.888901,0.0033465548,12.936492,0.0022844685,16.489031,0.0033905304,16.199859,0.0034646107,14.525196,0.0031402493,17.172045,0.0033906202,14.499355,0.0031179733,16.618989,0.0033724545,17.09986,0.0035143676,14.133116,0.0029683369,15.789052,0.0033782919,16.615088,0.0034387217,13.70448,0.0027796322,14.517301,0.0031053947,11.628085,0.0014573336,16.060949,0.0034116446,16.481402,0.003370816,15.76651,0.0033801087,15.116641,0.0032641304,14.658151,0.0031693928,16.222624,0.0034549903,16.056101,0.0034554413,16.685691,0.0034837704,16.135121,0.0033056728,16.281115,0.0034379374,19.060023,0.0035669836,16.403881,0.0034811768,16.219387,0.003458029,16.181832,0.0034665337,17.075336,0.0033411631,15.990799,0.003363156,16.213249,0.0034634324,15.816924,0.003317928
Vv0015w.fits,58756.049769,2019-09-30T01:11:40.042,15.64108,0.0033713911,17.816251,0.0033553052,14.484403,0.0030737098,15.789022,0.0034026051,11.597781,0.0014424004,17.362418,0.0034155917,16.753229,0.0034068488,12.928484,0.0022571952,16.604561,0.0033816789,16.36038,0.0033848411,14.533418,0.00313941,16.938015,0.0034482996,14.481834,0.0030194943,16.547367,0.0033336093,17.327068,0.0034750358,14.135831,0.0029457981,15.831371,0.0033586112,16.483731,0.0034257431,13.70393,0.0027591073,14.516912,0.0030917932,11.629811,0.0014729948,16.079693,0.0033869628,16.453694,0.0034263349,15.900492,0.0033913417,15.092332,0.0032365959,14.705128,0.0031374119,16.370097,0.0034595472,16.189154,0.0034272251,16.483056,0.0034485866,16.225674,0.0033972737,16.204946,0.0033978112,16.929198,0.003471757,16.370285,0.0034497412,16.27204,0.003443656,16.253547,0.003435516,17.091689,0.003429492,15.952696,0.0032505531,16.571238,0.0034306569,13.593497,0.024535786
Vv0016w.fits,58756.050891,2019-09-30T01:13:16.982,15.669823,0.0033237238,17.205376,0.0033589407,14.475943,0.0031637175,15.745103,0.0034382637,11.605329,0.0014478763,17.196588,0.0034383158,17.06983,0.003462293,12.92729,0.0023139632,16.421606,0.0034913172,16.459851,0.0033844071,14.506948,0.0031449114,17.087983,0.0034815449,14.469749,0.0030415504,16.586078,0.0033572564,17.24341,0.0035242275,14.107038,0.0029464362,15.750866,0.0033543012,16.80651,0.0034504739,13.714751,0.0027748491,14.534556,0.0031211261,11.651965,0.0014913902,16.077716,0.0034155265,16.360557,0.0034373402,15.849048,0.0033831016,15.130697,0.0032822292,14.707257,0.0031712387,16.353347,0.0034992657,16.11443,0.00342298,16.971546,0.0034782592,16.231346,0.0033225861,16.203733,0.0033497126,15.954352,0.0034645566,16.257927,0.0034650578,16.305604,0.0034581075,16.337636,0.003463382,17.028937,0.0033714025,16.099247,0.0033448893,16.493341,0.0034867351,13.571496,0.02463249
Vv0017w.fits,58756.052014,2019-09-30T01:14:54.010,15.62957,0.0032972634,17.33558,0.0033494777,14.43262,0.0030609539,15.735019,0.0033584136,11.596771,0.0014577336,17.083953,0.0034342247,17.388902,0.0033819472,12.917327,0.0023133695,16.670823,0.0034301651,16.310597,0.0034676554,14.543616,0.0030678002,16.681881,0.0033595041,14.461343,0.0030382133,16.490982,0.0033791874,16.835521,0.0034772807,14.11137,0.0029522164,15.768743,0.0033569101,16.563215,0.0033635515,13.705795,0.0027730272,14.515702,0.0030603156,11.661452,0.0014933821,16.058008,0.0034099047,16.261406,0.0034490588,15.859303,0.0034105077,15.109298,0.0032864875,14.647783,0.0031487466,16.171411,0.0034562133,16.160346,0.0034652751,16.725245,0.0034787347,16.11487,0.0033926731,16.28115,0.0033494591,16.043201,0.0034436786,16.264883,0.0034798758,16.125352,0.0034463316,16.161332,0.0033487723,16.925676,0.0033637338,16.103046,0.003355692,16.363557,0.0033831522,13.561899,0.024464044
Vv0018w.fits,58756.053137,2019-09-30T01:16:31.037,15.688208,0.0033273395,17.183583,0.0034531735,14.414479,0.0031380607,15.821712,0.0035631423,11.59104,0.001442762,17.324913,0.0034513024,16.985356,0.0034692201,12.922708,0.0023235572,16.930362,0.0034580924,16.22738,0.0034066403,14.521501,0.0031619325,17.492894,0.003423625,14.490099,0.0031345528,16.434312,0.0034628755,17.00037,0.0035248695,14.091936,0.0028886348,15.794531,0.0033686709,16.648866,0.0034574164,13.706822,0.002724103,14.530418,0.0030590646,11.676176,0.0015039823,16.024675,0.0034278338,16.381395,0.0033669339,15.878976,0.0034274443,15.123088,0.0033092037,14.661744,0.0030856392,nan,0.0036584343,16.043787,0.0034467097,16.672383,0.0035003584,16.233766,0.0034262388,16.213931,0.0034389582,15.900519,0.003366369,16.342944,0.0034721756,15.776135,0.003433937,16.164143,0.0034789061,16.821401,0.0034525598,16.171503,0.003300221,16.329825,0.0034696829,13.716724,0.023800072
Vv0019w.fits,58756.054259,2019-09-30T01:18:07.978,15.612217,0.0033040379,17.418439,0.0034533149,14.450368,0.0031352823,15.753821,0.0034458357,11.595125,0.0014427291,17.212875,0.0035101844,17.152258,0.0034730883,12.933675,0.0023151078,16.680655,0.0033877089,16.35693,0.0034834831,14.516114,0.0032366768,17.116086,0.0034893239,14.48422,0.003043928,16.554918,0.0033580718,17.08095,0.0035231088,14.112688,0.0029398626,15.747817,0.0033421608,16.787475,0.0034537136,13.714052,0.0027764332,14.505399,0.0031157742,11.694736,0.0015141998,16.004084,0.0034166398,16.381164,0.0033594174,15.75411,0.0033899518,15.105775,0.0032757074,14.682262,0.0031512062,16.322636,0.0034455488,16.030878,0.0034308414,16.704599,0.0034801891,16.324551,0.003398457,16.270949,0.00341847,15.958829,0.0034283065,16.362726,0.0034299449,16.155117,0.0033447455,16.317267,0.0033762579,16.645231,0.003416986,16.018889,0.003336572,16.91036,0.0034917306,13.5949,0.024208455
Vv0020w.fits,58756.055382,2019-09-30T01:19:45.005,15.566185,0.0032650688,17.325158,0.0033534446,14.469559,0.0031416528,15.691848,0.0033255976,11.597445,0.0014406956,16.98141,0.0035092286,16.814596,0.0033342452,12.924904,0.002263376,16.664108,0.0033946489,16.4337,0.0034695954,14.521995,0.0031412761,17.319688,0.0033903319,14.501633,0.0029454204,16.384605,0.0034306935,17.359009,0.0035849127,14.112652,0.0028641833,15.788293,0.0033079491,16.3832,0.0033387162,13.680899,0.0027577151,14.514022,0.00310301,11.705766,0.0015231779,16.147596,0.003310822,16.595402,0.0034162957,15.797151,0.0033723095,15.11161,0.0031819741,14.69417,0.0030831389,16.319139,0.0033575622,16.008078,0.0034208948,17.041837,0.0034638288,16.413661,0.0033223955,16.291942,0.0033133039,15.934349,0.0034127822,16.132293,0.0034558135,16.206476,0.0034418571,16.175054,0.0034407462,16.872222,0.003423283,16.089185,0.0033487818,16.27648,0.0033515647,13.410798,0.02495623
